ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
SPY,ATR,99.92104692065574,116.509536087547,0.00046656286376211544,0.07593325277223158,,
SPY,MAD_Returns,108.42892142157243,116.509536087547,0.0010810544028552597,0.21373867680744735,15.019351505197767,5.484161385619457e-51
SPY,IQR,107.58314377690283,116.509536087547,0.0016510965613783268,0.3009652786243913,15.003939907733715,6.918751662079939e-51
SPY,SD_Returns,107.39177286301947,116.509536087547,0.0018928950844195062,0.23635208358025736,15.014894923219433,5.865474729910368e-51
XLB,ATR,104.65780057791302,95.150406039117,0.00045790384271772916,0.051081023145622566,,
XLB,MAD_Returns,100.80348518071861,95.150406039117,0.0015309270660395068,0.15780756813216767,16.61544133687356,5.387689008551773e-62
XLB,IQR,100.91226042322565,95.150406039117,0.002659918157888473,0.3121152418287749,16.21193363160809,4.152938780948295e-59
XLB,SD_Returns,98.00818411272091,95.150406039117,0.0014244428767740897,0.14645339588583234,16.56802685305611,1.1865587094633712e-61
XLE,ATR,98.3449361109898,101.8277066356228,0.0005199661505285176,0.04651460579888656,,
XLE,MAD_Returns,101.02955221925774,101.8277066356228,0.0015412269866543916,0.1639970628780555,16.668759412010782,2.211366606970402e-62
XLE,IQR,100.30942824102027,101.8277066356228,0.0022988965480485323,0.35300426023852044,16.213839831189066,4.026085365849606e-59
XLE,SD_Returns,100.23876969292269,101.8277066356228,0.0014634398359432822,0.15633681096928623,16.683940874978745,1.7152097560052928e-62
XLF,ATR,108.94338261584639,120.09391992090954,0.0003618319587714369,0.058402244170858604,,
XLF,MAD_Returns,110.77419189933275,120.09391992090954,0.0008181916961745721,0.17855062912422276,13.829782505927609,1.685292907414986e-43
XLF,IQR,111.17433852842704,120.09391992090954,0.0016754877637932839,0.30311006221438946,13.026200037242386,8.682520595094903e-39
XLF,SD_Returns,107.28471651240874,120.09391992090954,0.0008236127751142796,0.197989444169822,13.76770667241953,3.986686996744051e-43
XLI,ATR,110.7115038574495,109.68595041322314,0.0021938043530995207,0.15970286230409864,,
XLI,MAD_Returns,112.90299794980984,109.68595041322314,0.004162995851473527,0.3325461486714558,25.85495304360637,2.1402578313610633e-147
XLI,IQR,108.45128671002685,109.68595041322314,0.003898374243508915,0.3837776419870006,25.795023463889933,1.0083704387040946e-146
XLI,SD_Returns,114.92655092825503,109.68595041322314,0.0018537738860276525,0.20836411902465715,25.85374444915299,2.208294136758659e-147
XLK,ATR,115.296064584351,114.55853054084261,0.0010148426542426583,0.09970803861347673,,
XLK,MAD_Returns,101.80093042187636,114.55853054084261,0.0026303460982819785,0.28120417685199106,13.90680970500616,5.759153906562058e-44
XLK,IQR,106.27418841119365,114.55853054084261,0.002677427209459911,0.34560114039507306,13.885253838965856,7.782418345313755e-44
XLK,SD_Returns,101.78774562827121,114.55853054084261,0.0015266726283005329,0.1867402363448427,13.92024765141937,4.772475919657881e-44
XLP,ATR,101.69481623255669,104.7192513368984,0.0008257751714669058,0.06263791862467322,,
XLP,MAD_Returns,100.8657726858482,104.7192513368984,0.001589667592130522,0.15034600519727223,18.83361851829187,4.004403427094416e-79
XLP,IQR,102.38246662088903,104.7192513368984,0.0026032535396903643,0.2761801224580201,18.444416359251225,5.781992963837575e-76
XLP,SD_Returns,100.48732943469786,104.7192513368984,0.0015592506317405309,0.15408857642871732,18.775018678893105,1.2090543036122117e-78
XLV,ATR,96.87925247455726,95.17808219178082,0.0005522831035587511,0.05943066086627743,,
XLV,MAD_Returns,98.78231224075219,95.17808219178082,0.0014021047780050763,0.2037055567130262,18.576155584785393,5.0114566452747645e-77
XLV,IQR,98.45668673308728,95.17808219178082,0.0019106461651142415,0.2489024445500362,18.43659432555948,6.681966955742229e-76
XLV,SD_Returns,100.15616518810998,95.17808219178082,0.0011946434964543193,0.1969498569088569,18.55848658720972,6.963893629515221e-77
XLY,ATR,108.53837351935962,122.88107931672289,0.00029298252674467875,0.06011540136068585,,
XLY,MAD_Returns,111.99498521355444,122.88107931672289,0.0012495583958091832,0.14993730405345307,16.002028686492032,1.2367841117536968e-57
XLY,IQR,112.20404355999327,122.88107931672289,0.0016813310322867678,0.2952630479025129,15.827048054538157,2.0250115546026175e-56
XLY,SD_Returns,113.7598815847712,122.88107931672289,0.0010917746705791718,0.13528284313438804,16.00630864869897,1.1545976589595431e-57
XLU,ATR,106.92854905389045,123.68421052631578,0.0008021933433600437,0.05838668968417858,,
XLU,MAD_Returns,110.96241442464927,123.68421052631578,0.00121767756471098,0.14190561139609123,18.05788835268428,6.838910529055239e-73
XLU,IQR,112.33247605084603,123.68421052631578,0.005011410281052588,0.35388420843012247,17.193855569939878,2.9522970743338596e-66
XLU,SD_Returns,114.51345536901596,123.68421052631578,0.001374384566054247,0.13860332647441734,17.998636976369248,1.996727095438156e-72
