ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE
XLB,ATR,976.2137748638185,1026.7040604804292,0.10433622028594486,0.23947023885901722
XLB,Squared_Returns,968.7499931244365,1026.7040604804292,4.867414338371417e-05,1.193296335712107
XLB,SD_Prices,1026.732923640586,1026.7040604804292,0.18459087544227012,0.3429778510496933
XLE,ATR,932.7064802496138,1010.1480420248328,0.017127512142305644,0.07133397403808035
XLE,Squared_Returns,902.9349739592662,1010.1480420248328,5.054488997077891e-05,0.4732658707650158
XLE,SD_Prices,939.6827162635818,1010.1480420248328,0.07581278485039122,0.21098452006910814
XLF,ATR,865.5110821579153,1057.0866141732283,0.0056232794484074086,0.07253424216485183
XLF,Squared_Returns,1052.2550026271504,1057.0866141732283,2.2577763213158333e-05,0.5489360622638167
XLF,SD_Prices,980.4058680394311,1057.0866141732283,0.03378535431398758,0.23517613861817224
XLI,ATR,984.1753642944028,1103.2910388580492,0.18408644735149962,0.31709240967623514
XLI,Squared_Returns,1016.3250093148936,1103.2910388580492,0.00025965223953784944,3.0121862163385726
XLI,SD_Prices,943.1370601214176,1103.2910388580492,0.29261647632378457,0.37453562264987345
XLP,ATR,1008.7416740934534,1005.013229355243,0.1369238640772843,0.39678897671885105
XLP,Squared_Returns,947.0299809566767,1005.013229355243,0.0005188210980946355,4.636909542099951
XLP,SD_Prices,1119.8668836283223,1005.013229355243,0.26009191283194794,0.554827519218434
XLV,ATR,1081.775743380875,1100.1896333754742,0.7756417113218177,0.7163152879061451
XLV,Squared_Returns,974.9899832566981,1100.1896333754742,0.0037752088612463684,10.002394721409969
XLV,SD_Prices,1007.7238312589122,1100.1896333754742,0.7257541965116957,0.7245644494373035
XLY,ATR,1143.6139219662382,1188.4567645841953,2.0163017431720713,0.8554703648809434
XLY,Squared_Returns,1104.3800516807792,1188.4567645841953,0.0002086929660635918,2.03195848396806
XLY,SD_Prices,1134.112914665128,1188.4567645841953,1.5193132719872107,0.7146009306224435
XLU,ATR,914.6946436780535,994.2777605938759,0.04504274942059085,0.1705230033577524
XLU,Squared_Returns,867.7149738910591,994.2777605938759,8.887321441621814e-05,1.4745826684298176
XLU,SD_Prices,997.3908336115514,994.2777605938759,0.1259209098543632,0.2856602784377638
