,metric,1,1.2,1.4,1.6,1.8,2
0,sd,109.70778744116767,123.59766400229964,144.71406338248465,137.20950343747268,158.6777193609677,182.5160388721641
1,atr,105.84445046000006,125.01928908019539,156.95279551035014,143.90874422758853,149.7463200207873,177.59215282150686
2,mad,131.200193234034,122.19333247578302,127.07782101764832,155.71665715616354,144.47875575521024,143.0294483062618
3,iqr,114.42581909383402,145.69281248239471,163.9368073502069,172.6460685831003,213.44591453018478,263.56376078031303
