ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
SPY,ATR,997.7012819082206,1165.09536087547,0.0004177014769235401,0.09123413989699695,,
SPY,MAD_Returns,1003.4978344458987,1165.09536087547,0.0009163334041932184,0.155973777270644,17.927693341884098,7.169291984552576e-72
SPY,IQR,1026.1280988332683,1165.09536087547,0.0016138121712154132,0.3162511183192041,17.89651055278321,1.255459071008747e-71
SPY,SD_Returns,1024.0630096207906,1165.09536087547,0.0024244116021041352,0.26735200505641016,17.886971208124724,1.489896526388108e-71
XLB,ATR,933.5765376914121,951.5040603911699,0.00038470235631679004,0.049579239615193386,,
XLB,MAD_Returns,901.25882270735,951.5040603911699,0.0014976769919698262,0.16660104308520154,18.349130587333626,3.354368155850167e-75
XLB,IQR,873.1704010194336,951.5040603911699,0.0019332413051970938,0.3176266160332184,17.970487252924706,3.3178783311148306e-72
XLB,SD_Returns,934.0792593616537,951.5040603911699,0.0014481181032792714,0.13355062999932144,18.376941894696458,2.0098452001071506e-75
XLE,ATR,986.1188237952368,1018.2770663562281,0.0005208597752017143,0.04489681833389785,,
XLE,MAD_Returns,971.4907360331044,1018.2770663562281,0.0014868858895232277,0.18102398408638318,15.869727441513053,1.026858334379633e-56
XLE,IQR,962.0091562383582,1018.2770663562281,0.0028539330914883125,0.3079711853607741,15.44371443501239,8.316937887661716e-54
XLE,SD_Returns,986.4688355026815,1018.2770663562281,0.0015414091381592294,0.1594544017559863,15.886661063052697,7.839347217101438e-57
XLF,ATR,1000.0,1200.9391992090955,0.00038591817497639217,0.059833322644523235,,
XLF,MAD_Returns,1029.8995276483747,1200.9391992090955,0.0008021506904183067,0.18093697746941123,13.778434344525625,3.436442196651782e-43
XLF,IQR,1061.2098428960692,1200.9391992090955,0.0011824694374755322,0.24720225361063863,13.246205851253318,4.7459719495333186e-40
XLF,SD_Returns,1028.360049321825,1200.9391992090955,0.0010329346593238899,0.1824385624806344,13.795217942660791,2.7232860593642936e-43
XLI,ATR,998.8813423891331,1096.8595041322312,0.0005546870289802949,0.06623760897664008,,
XLI,MAD_Returns,985.3596435391471,1096.8595041322312,0.0010452003723407774,0.17420153730967966,15.00059699178327,7.27619142984965e-51
XLI,IQR,1016.3983656866958,1096.8595041322312,0.002150185241910692,0.28811172815480146,14.840319291539682,8.037250345561145e-50
XLI,SD_Returns,988.9449231654125,1096.8595041322312,0.0021464350713742996,0.20184914637334533,14.971048246625365,1.1351778443571766e-50
XLK,ATR,1114.713619187623,1145.5853054084262,0.0008283638140451311,0.08233765827214501,,
XLK,MAD_Returns,1030.3783158512783,1145.5853054084262,0.0015678594841889164,0.2059955414335436,12.001636494047133,3.483398668576558e-33
XLK,IQR,1022.4326924345935,1145.5853054084262,0.003398397204066365,0.41492481044378965,11.921396892872028,9.156035625223898e-33
XLK,SD_Returns,1040.525125414295,1145.5853054084262,0.0016180063554286563,0.19375449332542624,11.9914563592782,3.9391780764331915e-33
XLP,ATR,1028.5037899613267,1047.192513368984,0.0006832988330404711,0.05502593217920782,,
XLP,MAD_Returns,1004.8732943469786,1047.192513368984,0.00207539721990229,0.1667335009701411,17.772316715023862,1.1580772773409716e-70
XLP,IQR,1020.714346582763,1047.192513368984,0.002141079740128848,0.333350644022414,17.30918812654638,4.0102970651821113e-67
XLP,SD_Returns,1012.1332943469786,1047.192513368984,0.0015199522167397758,0.15163514665967745,17.73166945940759,2.388358559201859e-70
XLV,ATR,969.5722446523359,951.7808219178082,0.0008033962910345359,0.06701960778489814,,
XLV,MAD_Returns,977.6923510403294,951.7808219178082,0.0014427135780831037,0.1783900883801353,17.587725425635153,3.059124938774444e-69
XLV,IQR,984.566867330873,951.7808219178082,0.0019003625597520737,0.31020681026389973,17.440130621106782,4.091378087710065e-68
XLV,SD_Returns,1001.5616518810999,951.7808219178082,0.0011415501927931812,0.17887408790609255,17.564757003510042,4.5865398600916674e-69
XLY,ATR,1120.2792104997316,1228.810793167229,0.0002872659073777829,0.060843818544952424,,
XLY,MAD_Returns,1121.120545348152,1228.810793167229,0.0013790270589240587,0.15810921183313867,16.06919540424602,4.19495904332504e-58
XLY,IQR,1116.8771161724248,1228.810793167229,0.0017977960924736149,0.24933404691223376,15.924238231729229,4.3022131954576356e-57
XLY,SD_Returns,1025.8279118028534,1228.810793167229,0.0009226916641636338,0.1272923742490423,16.092352673368747,2.8865662105555622e-58
XLU,ATR,996.8534902013868,1236.842105263158,0.000534288336982095,0.04870214025129565,,
XLU,MAD_Returns,1144.4515886770305,1236.842105263158,0.0023459539545448377,0.18266818236231722,18.788687081168234,9.346313455214187e-79
XLU,IQR,1056.0991661839066,1236.842105263158,0.0018929156332526495,0.2719286059660173,18.382095432292893,1.8277019344125647e-75
XLU,SD_Returns,1109.7461679774979,1236.842105263158,0.002417127988459234,0.1865013032177228,18.68490842793667,6.56914829111451e-78
