,metric,1,1.25,1.5,1.75,2,2.25,2.5
0,sd,0.372288,0.385947,0.47521,0.491012,0.573657,0.649191,0.622504
1,atr,0.367656,0.480741,0.591982,0.651323,0.561993,0.609699,0.67669
2,mad,0.39788,0.379191,0.375477,0.460888,0.454646,0.498334,0.609348
3,iqr,0.453962,0.503214,0.560074,0.64243,0.676498,0.643725,0.575486
4,mad_med,0.404767,0.38422,0.432871,0.490719,0.474753,0.518359,0.552194
5,iqr_med,0.49385,0.55995,0.525954,0.591576,0.6228,0.645313,0.614348
