,metric,1,1.25,1.5,1.75,2,2.25,2.5
0,sd,70,62,50,44,34,22,14
1,atr,58,46,42,34,28,24,20
2,mad,78,68,56,54,46,38,34
3,iqr,52,44,36,28,18,16,14
4,mad_med,80,70,62,58,50,42,34
5,iqr_med,54,44,36,26,24,22,14
