,metric,1,1.2,1.4,1.6,1.8,2
0,sd,111.74245874205232,108.01412367100359,127.4995792020496,129.35431543221182,161.3739222337461,133.47869566227655
1,atr,119.00490074188673,125.30366392118191,131.64349544204217,137.23406285394884,142.99367075435768,137.56609748744785
2,mad,106.92083967742913,111.82145113564818,115.69657165993412,120.81288584337742,125.92327605881799,137.9769822305908
3,iqr,114.82986880417528,131.24967679238696,139.87803232703135,143.57951708257627,150.7541147594477,130.40389402915972
