,metric,1,1.2,1.4,1.6,1.8,2
0,sd,117.75040058290686,127.78659931843099,137.12707070148565,153.20903447539376,147.5117222921389,144.52726273232616
1,atr,130.56132539887085,163.63215428137832,192.70855202965632,160.09876255474097,163.64222555506834,173.1788088088145
2,mad,109.80584789906912,120.59753457804192,127.78659931843099,142.51092146553685,154.57834716529922,133.80031376099302
3,iqr,119.88572038895742,137.52561331046573,122.60216300614655,113.1335896165832,134.66398611792212,145.28415553237923
