,metric,1,1.25,1.5,1.75,2,2.25,2.5
0,sd,193,191,233,214,255,455,249
1,atr,195,241,223,210,277,205,276
2,mad,238,179,177,220,192,252,276
3,iqr,145,228,361,227,212,410,301
4,mad_med,220,170,175,227,213,240,417
5,iqr_med,190,221,382,443,313,197,100
