ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
SPY,ATR,1064.8175354268387,1165.09536087547,0.0041644997613373355,0.3223915547075836,,
SPY,MAD_Returns,1081.3758410929295,1165.09536087547,0.0031526971637111695,0.2984125761223006,35.71233490624406,2.5440025950481893e-279
SPY,IQR,1068.0392854574975,1165.09536087547,0.0033507649422178437,0.5821034769028064,35.668218787703665,1.229864752335639e-278
SPY,SD_Returns,1043.3706203362774,1165.09536087547,0.0033180192219921323,0.4293715424635602,35.63723886292336,3.7146729410616787e-278
XLB,ATR,1014.2964994903767,951.5040603911699,0.0016290961678656916,0.0982328933060898,,
XLB,MAD_Returns,995.9997307208661,951.5040603911699,0.0017598026612728895,0.18803549015622753,19.877843101428695,6.329700646629613e-88
XLB,IQR,1003.1814095681855,951.5040603911699,0.003280165818311869,0.40056134864429377,19.72646844757978,1.2779191878909034e-86
XLB,SD_Returns,980.6656022833092,951.5040603911699,0.0017145186182403978,0.1431388333116775,19.93419751023896,2.0557567422944852e-88
XLE,ATR,1075.448712122431,1018.2770663562281,0.0005451561790048368,0.049383067024646295,,
XLE,MAD_Returns,1008.3815169554427,1018.2770663562281,0.0014275134377372356,0.16834018857292316,17.95553797474949,4.3435272114408064e-72
XLE,IQR,956.876564279419,1018.2770663562281,0.00212783841709838,0.2825059961534185,17.6341852420337,1.3462268837776479e-69
XLE,SD_Returns,998.5507446125242,1018.2770663562281,0.001363533058326755,0.1610197091317129,17.93747351536728,6.01274318151196e-72
XLF,ATR,1096.9388556299148,1200.9391992090955,0.0009343951889203385,0.07938798564540499,,
XLF,MAD_Returns,1124.401519153024,1200.9391992090955,0.0020737067919596327,0.22124804318403402,12.977010420830247,1.6520395559837718e-38
XLF,IQR,1091.7088816374876,1200.9391992090955,0.006143559536110214,0.8483385850428639,11.597660829560189,4.234958325554218e-31
XLF,SD_Returns,1128.4496697834786,1200.9391992090955,0.001555436968725243,0.21097065027826598,13.003473665289102,1.1690985284817899e-38
XLI,ATR,1131.8928736967243,1096.8595041322312,0.002407366156408806,0.15024769232796448,,
XLI,MAD_Returns,1127.0598764469055,1096.8595041322312,0.0010942372107246804,0.20410878894183995,21.369340666475708,2.5774680945074908e-101
XLI,IQR,1141.36419615059,1096.8595041322312,0.0017941414878499898,0.3524776230317995,21.317535935737272,7.806176580426072e-101
XLI,SD_Returns,1172.3612326833672,1096.8595041322312,0.0010726099191300227,0.18647278047376897,21.350525031539924,3.855826272508984e-101
XLK,ATR,1135.4871787096938,1145.5853054084262,0.01179347907504795,0.45113691567894043,,
XLK,MAD_Returns,1137.7073887046445,1145.5853054084262,0.003736955592483236,0.42398920997653555,24.987786784444474,8.299745977533672e-138
XLK,IQR,1038.0124885814862,1145.5853054084262,0.0075285370909917056,0.5164661863610065,25.021084632453213,3.60493434297697e-138
XLK,SD_Returns,1037.2356190276769,1145.5853054084262,0.0024210681422806085,0.2059997359116741,25.03538561545864,2.518857960656612e-138
XLP,ATR,1015.410747248223,1047.192513368984,0.002320928994491754,0.11194295640750651,,
XLP,MAD_Returns,1007.7322936972059,1047.192513368984,0.0046015940733210295,0.24342117425928667,24.70266732899456,1.0011819077576817e-134
XLP,IQR,1020.714346582763,1047.192513368984,0.002461803280337599,0.24732906980759453,24.564798188650197,3.005386432255124e-133
XLP,SD_Returns,1013.781085932702,1047.192513368984,0.00289382245263403,0.1947990026486937,24.681117731044992,1.706000030022707e-134
XLV,ATR,994.6197232295534,951.7808219178082,0.002084741293836229,0.1205315903042961,,
XLV,MAD_Returns,966.7423810953514,951.7808219178082,0.0014107824490326363,0.23553451189200544,22.78290741254084,6.774267977132028e-115
XLV,IQR,995.8228313117884,951.7808219178082,0.0022154664963918757,0.2649268020893004,22.759065620977616,1.1670630268554782e-114
XLV,SD_Returns,992.5284453145233,951.7808219178082,0.0016140333744132423,0.2059564345794881,22.81267373189626,3.432278437451185e-115
XLY,ATR,1123.4437825652362,1228.810793167229,0.002451193805027075,0.1503445336666801,,
XLY,MAD_Returns,1141.6514022185477,1228.810793167229,0.0010691021408153983,0.14643056441560123,15.573593272310514,1.1004748808693395e-54
XLY,IQR,1121.419102633749,1228.810793167229,0.002062754178429324,0.36614108917139515,15.512140806096978,2.871432341504327e-54
XLY,SD_Returns,1133.7301080210937,1228.810793167229,0.0019804887787880725,0.2890756956970462,15.511222629985564,2.912792214550078e-54
XLU,ATR,1037.2609973729507,1236.842105263158,0.0034880534557205547,0.12489212236648303,,
XLU,MAD_Returns,1102.4557443575968,1236.842105263158,0.0033530691459524686,0.21817111735494174,24.179077119218164,3.6936294339214207e-129
XLU,IQR,1100.3769481486647,1236.842105263158,0.0028350025666558053,0.23982980971900003,24.05560886023632,7.292546910352724e-128
XLU,SD_Returns,1119.6470347969612,1236.842105263158,0.003186470972217575,0.21253229058863973,24.186294499480923,3.101160764307839e-129
