ETF,Date,Metric,MAPE
XLK,date_config4,IQR,0.5972346025602697
XLK,date_config4,MAD_Returns,0.6492696365304258
XLK,date_config4,SD_Returns,0.815966607168426
XLP,date_config0,ATR,0.0826922304247902
XLP,date_config0,IQR,0.31193826494576826
XLP,date_config0,MAD_Returns,0.1850260284408604
XLP,date_config0,SD_Returns,0.1843618932514776
XLP,date_config1,ATR,0.05726974601196485
XLP,date_config1,IQR,0.26732484104115645
XLP,date_config1,MAD_Returns,0.20636808435779075
XLP,date_config1,SD_Returns,0.18446593394954575
XLP,date_config2,ATR,0.053350817108585497
XLP,date_config2,IQR,0.2952240015310992
XLP,date_config2,MAD_Returns,0.1673897818582052
XLP,date_config2,SD_Returns,0.1462684256867543
XLP,date_config3,ATR,0.08749812051963154
XLP,date_config3,IQR,0.3382404279496518
XLP,date_config3,MAD_Returns,0.1522953567957826
XLP,date_config3,SD_Returns,0.17639798616281682
XLP,date_config4,ATR,0.12030895659791155
XLP,date_config4,IQR,0.3430001309210404
XLP,date_config4,MAD_Returns,0.23408737455142276
XLP,date_config4,SD_Returns,0.15965732251178694
XLU,date_config0,ATR,0.08398943258322435
XLU,date_config0,IQR,0.2736249094673124
XLU,date_config0,MAD_Returns,0.23053665682862595
XLU,date_config0,SD_Returns,0.25345791673091467
XLU,date_config1,ATR,0.07705031124243225
XLU,date_config1,IQR,0.3163274970023846
XLU,date_config1,MAD_Returns,0.1878259884117918
XLU,date_config1,SD_Returns,0.1867877484694336
XLU,date_config2,ATR,0.0773976525462004
XLU,date_config2,IQR,0.24589545405413882
XLU,date_config2,MAD_Returns,0.16734347357985846
XLU,date_config2,SD_Returns,0.16672117143027831
XLU,date_config3,ATR,0.092215179520283
XLU,date_config3,IQR,0.27337616733196246
XLU,date_config3,MAD_Returns,0.2290616989259958
XLU,date_config3,SD_Returns,0.220369939110807
XLU,date_config4,ATR,0.09723330848659205
XLU,date_config4,IQR,0.4186495876175391
XLU,date_config4,MAD_Returns,0.30814048265064864
XLU,date_config4,SD_Returns,0.1871485806424693
XLV,date_config0,ATR,0.11301606698715785
XLV,date_config0,IQR,0.6574046093000434
XLV,date_config0,MAD_Returns,0.42828627216084214
XLV,date_config0,SD_Returns,0.3277505345800207
XLV,date_config1,ATR,0.0672386959692731
XLV,date_config1,IQR,0.427499749702899
XLV,date_config1,MAD_Returns,0.25389913747569165
XLV,date_config1,SD_Returns,0.2600017189916697
XLV,date_config2,ATR,0.07093261166497045
XLV,date_config2,IQR,0.2993627327472629
XLV,date_config2,MAD_Returns,0.19661570046151305
XLV,date_config2,SD_Returns,0.2081261005045802
XLV,date_config3,ATR,0.096153119055612
XLV,date_config3,IQR,0.4337394696553155
XLV,date_config3,MAD_Returns,0.3118245789569198
XLV,date_config3,SD_Returns,0.3607963483797245
XLV,date_config4,ATR,0.09576517333126129
XLV,date_config4,IQR,0.4765654573032828
XLV,date_config4,MAD_Returns,0.25261737116267047
XLV,date_config4,SD_Returns,0.4968560819408705
XLY,date_config0,ATR,0.15199553530988355
XLY,date_config0,IQR,0.471442391758073
XLY,date_config0,MAD_Returns,0.25855421287303226
XLY,date_config0,SD_Returns,0.25637815552663434
XLY,date_config1,ATR,0.06328137887932755
XLY,date_config1,IQR,0.24803235241520186
XLY,date_config1,MAD_Returns,0.1547130591271883
XLY,date_config1,SD_Returns,0.13960660767271316
XLY,date_config2,ATR,0.06699550880186039
XLY,date_config2,IQR,0.2429143025196194
XLY,date_config2,MAD_Returns,0.16198352599390256
XLY,date_config2,SD_Returns,0.13377813952485296
XLY,date_config3,ATR,0.12599450049667255
XLY,date_config3,IQR,0.2852612699118605
XLY,date_config3,MAD_Returns,0.20924000067579063
XLY,date_config3,SD_Returns,0.2787066687321034
XLY,date_config4,ATR,0.18747348480078713
XLY,date_config4,IQR,0.3492009057115116
XLY,date_config4,MAD_Returns,0.40366003632641184
XLY,date_config4,SD_Returns,0.5244839234391222
