,metric,1,1.2,1.4,1.6,1.8,2
0,sd,117.54266527842884,121.73549786607094,126.0433257221579,128.98671826684713,132.03685464678557,156.42784282708286
1,atr,124.39313854260224,130.7082789680004,116.51008372582844,124.81051704637999,137.1453191712022,143.1503202171475
2,mad,105.25565176110199,110.14924352984228,118.77489142288088,123.5649344850283,137.47500154170498,135.58579792073346
3,iqr,117.216956510824,123.21999664755505,145.8736787619094,159.77367888452687,173.1839994850421,158.8808672772966
