,metric,1,1.2,1.4,1.6,1.8,2
0,sd,102.27487002591518,107.02686420925637,110.23661087246835,126.27203344640114,136.18895310325263,152.3995260527323
1,atr,109.7561466164744,118.6579011893739,137.05310788085305,157.08229547541595,152.4257672392782,157.2516022920831
2,mad,98.01029299311905,99.61622766017994,106.02148414576227,108.04525874320403,121.62867302982603,124.52177093961865
3,iqr,111.37287824206808,121.1468580227164,131.42002872742728,152.32322410198555,131.92122350922068,139.11502089915345
