,metric,1,1.2,1.4,1.6,1.8,2
0,sd,113.13044428755849,106.7475197186633,116.22992026733883,123.84978940086422,130.87516625262447,118.81494149483427
1,atr,121.4306432667745,123.76831104047493,134.78351103931277,156.1653906402539,134.26469461664576,164.3089072616125
2,mad,104.35863392583276,111.00046228139138,118.57634096414148,121.1138882688073,116.28333403053226,125.56352241035093
3,iqr,118.91282427672506,118.67544737581247,122.53710978444573,150.47377015646103,128.04449159316678,131.72638837742244
