ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,995.5969724066689,1631.466770005813,0.0015109531394808138,0.3417334856769706,,
XLB,SD_Squared_Returns,1207.7045631840958,1631.466770005813,0.00024251641529068465,1.7494061306908508,51.1170644681904,0.0
XLB,SD_Prices,1028.3459891553675,1631.466770005813,0.0011326814234031907,0.37712419425965105,5.610306202713413,2.0196893363723205e-08
XLE,ATR,1181.5545793339986,1928.2133090246123,9.230333071499971e-05,0.07727616519570389,,
XLE,SD_Squared_Returns,751.6948513966145,1928.2133090246123,0.00032004246313189485,0.6814570605440298,32.85622756467898,9.280962889624921e-237
XLE,SD_Prices,1109.4576143050135,1928.2133090246123,0.00024256355555452865,0.2328986540455323,-14.600272698430903,2.7972425222777866e-48
XLF,ATR,1393.338995541114,1423.8636363636367,0.00012512087742376686,0.0918900945452057,,
XLF,SD_Squared_Returns,1219.6918658179143,1423.8636363636367,0.0001418268650740164,0.7040714995014239,28.602001511561827,6.344477725011878e-180
XLF,SD_Prices,852.1982569038397,1423.8636363636367,0.00031675162350020426,0.20458685520933784,-11.46567696633358,1.9621916906250747e-30
XLI,ATR,1000.0,1542.192046556741,0.0019900873646387417,0.4832425017995906,,
XLI,SD_Squared_Returns,1000.0,1542.192046556741,0.0006390672646306445,2.2619878305525654,58.64642022561314,0.0
XLI,SD_Prices,1053.7110513693272,1542.192046556741,0.0018442783381316047,0.5541528800429423,3.413307150826371,0.0006417956367789933
XLK,ATR,1000.0,2187.0324189526186,0.00714416226557344,0.8993729161993931,,
XLK,SD_Squared_Returns,1000.0,2187.0324189526186,0.0011386067482779378,1.1699574678939484,88.97738409985216,0.0
XLK,SD_Prices,1000.0,2187.0324189526186,0.0034950262736705346,0.784332944594839,32.84969202272094,1.1506081992092702e-236
XLP,ATR,1000.0,1248.3999308078187,0.0019721327261010614,0.5726134395694827,,
XLP,SD_Squared_Returns,1013.725626796444,1248.3999308078187,0.0008493179933500491,2.151264770163435,52.73218803548804,0.0
XLP,SD_Prices,1018.5179925666712,1248.3999308078187,0.001701134981190946,0.5820426133368752,14.351738704045468,1.0389934997240152e-46
XLV,ATR,1000.0,1524.2474001094693,0.004596581224670279,0.785570540901034,,
XLV,SD_Squared_Returns,1000.0,1524.2474001094693,0.0013380333026510641,2.2748560828894058,69.57736469818093,0.0
XLV,SD_Prices,1000.0,1524.2474001094693,0.0033191638821572396,0.9067841207687083,16.0803587221734,3.503444200432933e-58
XLY,ATR,1000.0,1527.9255319148936,0.005231287083626613,0.8210361443076137,,
XLY,SD_Squared_Returns,1000.0,1527.9255319148936,0.0017883528938203476,3.515238909905332,73.74038451428031,0.0
XLY,SD_Prices,994.397900099435,1527.9255319148936,0.002947051153337677,0.7254425822429634,25.59711184337488,1.642787850772053e-144
XLU,ATR,1011.2430595172823,1022.748965956093,0.0004696191140046833,0.15574548274331287,,
XLU,SD_Squared_Returns,1182.4400518171155,1022.748965956093,0.00033285245699128777,1.242630918904488,21.987958363432522,3.7550603384291716e-107
XLU,SD_Prices,927.5979237119705,1022.748965956093,0.0004781357815836452,0.23943921693673254,-1.7466351751440823,0.08070064158388982
