ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,1077.863580067317,1026.7040604804292,0.009546659056040727,0.2747416590326173,,
XLB,SD_Squared_Returns,949.3493643103882,1026.7040604804292,0.005499026837097742,0.4896940145740052,27.293750038352574,5.031774382803945e-164
XLB,SD_Prices,1034.0426996115848,1026.7040604804292,0.004551615789048543,0.3314413666320245,1.2195645326502516,0.222629998462614
XLE,ATR,966.1870366687732,1010.1480420248328,0.0006242727489109005,0.062024485032446786,,
XLE,SD_Squared_Returns,927.5845175361054,1010.1480420248328,0.0015062044236161384,0.19119133697685756,16.388020482728994,2.3290641249324672e-60
XLE,SD_Prices,934.0931093424059,1010.1480420248328,0.001676701713746643,0.21133513990150665,-8.948443407257281,3.6053021005307387e-19
XLF,ATR,1063.6345459717463,1057.0866141732283,0.00040871488824144054,0.07963005558130569,,
XLF,SD_Squared_Returns,1032.8761240173294,1057.0866141732283,0.0008919435205065244,0.2099048988787703,13.816657989387505,2.0224349998755203e-43
XLF,SD_Prices,1035.8784059139848,1057.0866141732283,0.001020462729661035,0.2126031125877902,-6.7435250873152395,1.5458926909881663e-11
XLI,ATR,1000.0,1103.2910388580492,0.019087703014705675,0.38736399547070755,,
XLI,SD_Squared_Returns,1061.6194860180099,1103.2910388580492,0.007298919794088777,0.4818215146487649,34.47719035232648,1.76273761691841e-260
XLI,SD_Prices,992.8972381938788,1103.2910388580492,0.008303567014968602,0.39069484419018574,3.4733138996893502,0.0005140737341826715
XLK,ATR,1000.0,1348.4404744472104,0.03674077306726064,0.42259373246614745,,
XLK,SD_Squared_Returns,1081.02909286105,1348.4404744472104,0.005569875192660773,0.24896867073288712,44.78330308365817,0.0
XLK,SD_Prices,1082.480285878401,1348.4404744472104,0.0038736704733008352,0.29288513210288697,13.560230675109102,6.89190113116117e-42
XLP,ATR,1000.0,1005.013229355243,0.037553168626804925,0.45879127892371085,,
XLP,SD_Squared_Returns,-1992.7591478865488,1005.013229355243,0.03586214927979822,0.8886306344881936,57.10705161356428,0.0
XLP,SD_Prices,1065.2688181500425,1005.013229355243,0.004955561695870326,0.29196142135902964,20.575628131975762,4.53813127630436e-94
XLV,ATR,1000.0,1100.1896333754742,0.08420352318364561,0.7437788609222645,,
XLV,SD_Squared_Returns,1085.6159774524388,1100.1896333754742,0.0764510894158543,1.2281907404833805,73.47590127010376,0.0
XLV,SD_Prices,1012.8557232035771,1100.1896333754742,0.013025264039419431,0.45647466356881694,20.37233540653303,2.9430288238956846e-92
XLY,ATR,1000.0,1188.4567645841953,0.11039046685188923,0.7700646362508013,,
XLY,SD_Squared_Returns,1032.581623643267,1188.4567645841953,0.010422591492143042,0.3809182821833071,73.9664659250236,0.0
XLY,SD_Prices,1005.9842738849071,1188.4567645841953,0.016575404468975367,0.6673253188796526,11.199853716679275,4.084073158758841e-29
XLU,ATR,1072.9102343171257,994.2777605938759,0.003821567370153942,0.1543934549096746,,
XLU,SD_Squared_Returns,887.9311444356497,994.2777605938759,0.002428390692058744,0.2986352060148044,19.67306120937243,3.6694449830121795e-86
XLU,SD_Prices,983.7954237091782,994.2777605938759,0.00306822599019297,0.27588907494935605,-4.208459438848704,2.5711767073478702e-05
