ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE
XLB,ATR,1020.7363969150545,951.5040603911699,0.010497259019151804,0.06959556796575198
XLB,Squared_Returns,1006.6250005270151,951.5040603911699,2.334815828629164e-05,0.4817517801453573
XLB,SD_Prices,946.8663436569036,951.5040603911699,0.04453349680107958,0.1986925288248979
XLE,ATR,1046.4306594622085,1018.2770663562281,0.007346250354603711,0.0545643000544067
XLE,Squared_Returns,983.999998343473,1018.2770663562281,3.248065837082967e-05,0.7965077224354778
XLE,SD_Prices,1063.4047687835655,1018.2770663562281,0.04602333661841943,0.19189480184179838
XLF,ATR,1019.6940733172357,1200.9391992090955,0.019639494922439937,0.1354688143902703
XLF,Squared_Returns,1000.0,1200.9391992090955,0.0006210991587374112,4.597771619470476
XLF,SD_Prices,1017.2754318964728,1200.9391992090955,0.05610714305621863,0.20158269920834737
XLI,ATR,1029.4567005971676,1096.8595041322312,0.055531874997296615,0.12932799147601776
XLI,Squared_Returns,1007.1850017332215,1096.8595041322312,6.327557227306334e-05,1.4567342032524238
XLI,SD_Prices,1022.423362050301,1096.8595041322312,0.1455879309163726,0.23281870383458217
XLP,ATR,987.4935226737193,1047.192513368984,0.018743199198347136,0.1251290529035755
XLP,Squared_Returns,970.5499996200925,1047.192513368984,1.1175604898380789e-05,0.3972057683271666
XLP,SD_Prices,978.2527222987903,1047.192513368984,0.028982371824875095,0.21595285081422808
XLV,ATR,994.9483725358865,951.7808219178082,0.02344637521867277,0.08710274440672708
XLV,Squared_Returns,1018.915000532068,951.7808219178082,1.3774803292882713e-05,0.588321202944357
XLV,SD_Prices,1002.7612683202367,951.7808219178082,0.05937838560854887,0.2131772972735424
XLY,ATR,957.7132190168959,1228.810793167229,0.28401618908545345,0.21943540150900123
XLY,Squared_Returns,1024.3849988908655,1228.810793167229,5.306063295801526e-05,0.4447644482249675
XLY,SD_Prices,1020.3031231602902,1228.810793167229,0.5048152144863816,0.27873917796674486
XLU,ATR,1118.610016389997,1236.842105263158,0.029958598447145185,0.13702112269044553
XLU,Squared_Returns,1104.2350140860558,1236.842105263158,5.2504449218805245e-05,0.6904934194354706
XLU,SD_Prices,1009.2144893778451,1236.842105263158,0.10175023880120819,0.27487114553181274
