,metric,1,1.2,1.4,1.6,1.8,2
0,sd,115.4651299720286,118.12079528938443,112.39941838062641,127.08824588650849,123.49347659452472,126.15284112877707
1,atr,124.48769007682046,129.5542565088221,107.8639418663019,120.65154285726597,147.65481287045026,137.93970297521034
2,mad,109.44436766408361,119.23524500675518,137.10893945347638,112.4461711811554,125.30732457315949,127.89653422719962
3,iqr,104.59773318876759,118.24162478961068,130.3473594543508,148.2609790568055,149.9408157152472,146.88568122531396
