ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
SPY,ATR,108.11185267555479,116.509536087547,0.003745993540419852,0.25341077575165516,,
SPY,SD_Returns,107.03198890069515,116.509536087547,0.0028551046031273356,0.21825283077190663,21.83764417068345,1.0187441068593775e-105
SPY,SD_Prices,102.04448721167351,116.509536087547,0.002312905643591996,0.21656887994808374,5.297870517871439,1.1716099680383211e-07
SPY,IQR,112.90053863361108,116.509536087547,0.003701171536355182,0.6100144209114718,21.781013651655496,3.512155782540299e-105
XLB,ATR,100.89484018806405,95.150406039117,0.003158633483826511,0.15944627234076222,,
XLB,SD_Returns,98.6096742816942,95.150406039117,0.003637376686144082,0.27926279955805117,29.32606767674096,4.82606929290264e-189
XLB,SD_Prices,100.0,95.150406039117,0.0018044127071949144,0.2874208912532177,-0.7786297772816206,0.43619783294573755
XLB,IQR,97.43082999910408,95.150406039117,0.003162127974853858,0.3227280771666626,29.567641222160955,3.896277572125215e-192
XLE,ATR,108.18029834864997,101.8277066356228,0.0005473500305960052,0.04735342181263445,,
XLE,SD_Returns,100.67513356242216,101.8277066356228,0.0013596121672750736,0.14972916195566907,16.790932568444,2.8434162590273996e-63
XLE,SD_Prices,108.69401611813176,101.8277066356228,0.0009950330638963324,0.19126227177639893,-11.309029031891253,1.1839240320546747e-29
XLE,IQR,100.0,101.8277066356228,0.0021478345628268168,0.30568911020681094,16.442990763550277,9.415548179888353e-61
XLF,ATR,110.19532366166368,120.09391992090954,0.002307267050435273,0.15401776119997115,,
XLF,SD_Returns,116.2601784520053,120.09391992090954,0.003337158942479432,0.2886566063644466,19.202702889308735,3.5132528124328983e-82
XLF,SD_Prices,112.50418978689936,120.09391992090954,0.002023110461667816,0.20628104575983927,-1.9602610708232553,0.04996528365166217
XLF,IQR,107.0972571516929,120.09391992090954,0.0014494734324740786,0.3277239478412144,18.71455533505837,3.767525784526571e-78
XLI,ATR,104.6953547294366,109.68595041322314,0.002254199786375707,0.14984261908466778,,
XLI,SD_Returns,113.76268524184022,109.68595041322314,0.0018949927683083827,0.2776609895248462,22.31781939062046,2.4809822610747185e-110
XLI,SD_Prices,102.65201103995724,109.68595041322314,0.0017196601612352134,0.21751688560199164,-0.2941614360032667,0.768634547220221
XLI,IQR,107.49252529384583,109.68595041322314,0.004678674997787437,0.3829541291374457,22.344271771240745,1.3726804825158765e-110
XLK,ATR,112.10954950195686,114.55853054084261,0.010405917385245905,0.40131743529010644,,
XLK,SD_Returns,101.55833773583441,114.55853054084261,0.0040057786307560305,0.26142599334844335,22.245967169891344,1.2340294720078406e-109
XLK,SD_Prices,107.35047111838573,114.55853054084261,0.0074414741493234555,0.45448750832400575,1.0980961135518197,0.27216252224635384
XLK,IQR,108.58480902179717,114.55853054084261,0.0049083137969738976,0.9027857089160602,22.15979240494799,8.393674728069091e-109
XLP,ATR,103.46893344507629,104.7192513368984,0.003458556054899522,0.14029293463768183,,
XLP,SD_Returns,100.53610644619559,104.7192513368984,0.0020926733933139528,0.16037323325037486,28.06531224121283,2.5980318745102075e-173
XLP,SD_Prices,100.0,104.7192513368984,0.0016771144394390198,0.19652556305116703,2.510871607283677,0.01204334905915772
XLP,IQR,101.35133812381514,104.7192513368984,0.003369947603632496,0.28746369637978314,27.931049468459808,1.120170221033221e-171
XLV,ATR,99.30459928394382,95.17808219178082,0.001133903459423796,0.08085184735291356,,
XLV,SD_Returns,99.42257702189542,95.17808219178082,0.0020662011658578133,0.21106903305039265,17.280433084424654,6.605020432985942e-67
XLV,SD_Prices,100.0,95.17808219178082,0.0011334765975730785,0.19106725258509302,-4.786109748546602,1.7004509632527171e-06
XLV,IQR,100.46031852698071,95.17808219178082,0.0022267654472784715,0.33045641369547085,17.184145843081996,3.490500578321768e-66
XLY,ATR,117.60386978946165,122.88107931672289,0.0018928412041197523,0.12148738732308423,,
XLY,SD_Returns,114.49115690838093,122.88107931672289,0.001444692488146028,0.2361119529164248,13.518750999587935,1.2121633168219054e-41
XLY,SD_Prices,116.46450131568122,122.88107931672289,0.002097583372390727,0.22653737030226967,-4.2636435851545995,2.011201592584749e-05
XLY,IQR,111.23038613006706,122.88107931672289,0.0021968799315414626,0.3901855414171522,13.47390584553181,2.2276312577298737e-41
XLU,ATR,106.96042881917074,123.68421052631578,0.002899366013262012,0.11314244782967225,,
XLU,SD_Returns,112.24470118747855,123.68421052631578,0.002520849487889463,0.1866712295263188,23.39477515521331,4.830360373824259e-121
XLU,SD_Prices,102.33050282397951,123.68421052631578,0.0018980662265001848,0.18932145484165327,-2.761427380191121,0.005754931334143305
XLU,IQR,110.17740530977338,123.68421052631578,0.0030123440589786684,0.2455231342834784,23.28180679183552,6.777764908182572e-120
