,ETF,1,1.25,1.5,1.75,2,2.25,2.5
0,AVGO,sd: 2710,sd: 2736,mad: 2806,mad_med: 2050,atr: 1223,atr: 1346,atr: 947
1,ORCL,iqr_med: 2071,sd: 1317,mad_med: 1571,mad: 1828,atr: 1915,sd: 2256,mad: 1578
2,NEM,iqr_med: 771,iqr_med: 811,atr: 821,mad_med: 828,mad_med: 1143,mad: 790,mad: 541
3,UNH,atr: 5124,atr: 3563,atr: 3294,atr: 2607,atr: 2983,atr: 3184,mad_med: 2005
4,LIN,iqr: 2341,atr: 2048,atr: 2575,mad_med: 2630,atr: 2743,mad_med: 2105,mad_med: 1238
5,CEG,atr: 132,atr: 130,iqr: 116,sd: 118,atr: 121,iqr: 110,iqr: 110
6,AMZN,iqr_med: 1009,iqr: 1997,iqr: 1375,sd: 1027,sd: 1914,mad_med: 1617,mad_med: 2030
7,CAT,iqr: 527,mad_med: 504,sd: 598,mad: 665,mad: 559,iqr: 698,iqr: 1063
8,CVX,mad: 834,mad: 885,mad: 813,mad: 507,atr: 540,mad_med: 525,mad: 314
9,LLY,atr: 1559,mad: 1019,sd: 1119,sd: 1503,mad: 1114,mad_med: 1219,mad_med: 807
10,COP,mad: 600,mad_med: 380,atr: 502,mad_med: 315,mad_med: 275,mad: 351,atr: 234
11,RTX,atr: 491,iqr: 551,iqr: 774,iqr: 885,iqr_med: 784,sd: 1024,sd: 873
12,V,mad_med: 607,atr: 597,sd: 513,sd: 679,mad: 592,mad_med: 630,iqr_med: 476
13,COST,mad_med: 1133,mad_med: 887,atr: 874,mad: 878,sd: 764,sd: 762,atr: 1067
14,JNJ,mad: 637,mad: 530,mad: 442,iqr: 635,iqr_med: 561,sd: 582,sd: 636
15,MSFT,atr: 987,atr: 866,atr: 922,iqr_med: 538,iqr: 871,mad: 656,iqr: 937
16,BA,iqr: 341,sd: 344,mad: 344,mad_med: 288,atr: 230,mad_med: 202,iqr: 286
17,NEE,iqr_med: 488,mad_med: 496,mad_med: 625,atr: 633,atr: 896,atr: 884,atr: 840
18,AAPL,iqr: 769,iqr: 825,mad_med: 488,mad: 368,sd: 435,mad_med: 434,iqr: 1026
19,XOM,iqr: 505,iqr: 614,mad: 604,sd: 442,sd: 682,mad_med: 637,mad: 672
20,ACN,atr: 1016,atr: 776,atr: 862,atr: 697,sd: 829,sd: 794,mad: 750
21,NVDA,iqr: 571,iqr: 2244,iqr: 1965,iqr: 2080,sd: 830,iqr: 2335,iqr: 911
22,JPM,iqr: 696,mad_med: 814,atr: 1208,sd: 1756,mad: 1302,mad: 978,iqr_med: 608
23,WFC,mad_med: 583,iqr: 1072,iqr: 888,sd: 1064,sd: 1261,atr: 1607,atr: 1770
24,PG,mad_med: 336,atr: 359,mad: 345,mad_med: 365,iqr: 361,iqr: 400,mad: 365
25,HD,iqr_med: 613,atr: 549,atr: 614,atr: 862,sd: 831,mad_med: 830,mad_med: 1074
26,SO,iqr: 1046,sd: 982,sd: 1106,sd: 1516,mad: 1190,mad: 1055,mad: 852
27,summary_14.csv,mad_med: 529,iqr_med: 829,atr: 1048,atr: 923,atr: 1201,atr: 1091,sd: 1126
28,SHW,sd: 814,iqr_med: 1279,mad_med: 923,mad_med: 1140,atr: 834,mad: 923,mad: 975
29,WMT,iqr: 1439,iqr_med: 1379,sd: 860,sd: 1931,sd: 2377,mad: 2287,atr: 1180
