,Date,Open,High,Low,Close,Volume,Adj Close,ATR,SD_Log_Close,ATR_normalized,SD_normalized,Delta_Days
0,2000-01-12,144.59,144.59,142.88,143.06,6907700,90.64,4.024285714285717,0.029617893855016647,0.42286973497180164,2.6226853549838465,0
1,2000-01-13,144.47,145.75,143.28,145.0,5158300,91.87,3.5800000000000005,0.02482155880085919,0.24739775073143275,1.9795388030282095,1
2,2000-01-14,146.53,147.47,145.97,146.97,7437300,93.11,3.3214285714285716,0.02494204418442697,0.14527418434073605,1.9956948384443558,2
3,2000-01-18,145.34,146.62,145.19,145.81,6488500,92.38,3.04,0.02383351939903654,0.03412312036854137,1.8470513668288275,6
4,2000-01-19,145.31,147.0,145.0,147.0,6157900,93.13,2.182857142857143,0.011097507636037628,-0.30440803893763513,0.13926365839108454,7
5,2000-01-20,146.97,146.97,143.81,144.75,5800100,91.71,2.3700000000000006,0.012651409373769889,-0.2304954024891197,0.3476282812574768,8
6,2000-01-21,145.5,145.5,144.06,144.44,6244800,91.51,2.182857142857143,0.011798241960344326,-0.30440803893763513,0.23322599826643814,9
7,2000-01-24,145.66,145.84,139.41,140.34,7896900,88.92,2.857142857142857,0.015871801664495037,-0.03809686028344294,0.7794547017092952,12
8,2000-01-25,140.52,141.94,139.0,141.94,9942500,89.93,2.892857142857143,0.015525341790884337,-0.023991395312352302,0.7329974649675536,13
9,2000-01-26,141.0,141.55,140.09,140.81,5158100,89.21,2.804285714285714,0.0137300683816706,-0.05897294844065736,0.49226701350490404,14
10,2000-01-27,141.84,142.22,138.12,140.25,10922700,88.86,3.135714285714284,0.01372436978200498,0.07192576649106368,0.4915028811654125,15
11,2000-01-28,139.44,140.06,135.53,135.88,11916200,86.08,3.5242857142857127,0.015264812189223168,0.22539322537653045,0.6980627256095271,16
12,2000-01-31,135.81,139.67,135.0,139.56,10768700,88.42,3.7357142857142827,0.020687051543287344,0.3088975780053867,1.4251375661008625,19
13,2000-02-01,139.75,141.69,138.53,140.94,8419900,89.29,3.981428571428568,0.02146489216367032,0.4059431770064906,1.5294391854251246,20
14,2000-02-02,141.28,142.25,140.38,141.06,6205900,89.37,3.329999999999996,0.018340185901764002,0.14865949593379618,1.1104434239682017,21
15,2000-02-03,140.88,143.25,140.0,143.19,7997500,90.72,3.374285714285711,0.018739584476904263,0.1661502724979489,1.1639992772513865,22
16,2000-02-04,143.19,144.0,142.12,142.59,4925400,90.34,3.3785714285714255,0.01848069241339432,0.16784292829447983,1.1292841174272676,23
17,2000-02-07,142.56,142.78,141.44,142.38,5845800,90.2,2.984285714285712,0.018373872842365167,0.012118595013639061,1.1149605478657063,26
