,metric,1,1.2,1.4,1.6,1.8,2
0,sd,111.02776456158611,105.35475606322167,113.69936133695094,130.80633200813662,151.37441756886267,174.31707276142635
1,atr,126.11969773888434,129.06564961885087,133.5886025271655,146.15427679761459,153.67733442550346,163.16174933568092
2,mad,118.42275404180339,110.57365291305727,108.49632521643096,111.45593806054706,120.9302574038689,134.26898060381833
3,iqr,121.08148934596798,138.79328112754655,141.95920946774743,137.02445456369657,178.3496036140118,180.16643003053593
