ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE
XLB,ATR,988.674329418405,1026.7040604804292,0.08339273729866016,0.24109817709854675
XLB,Squared_Returns,1013.8700023088456,1026.7040604804292,9.915365452886382e-05,1.8909142655900435
XLB,SD_Prices,980.1156261324062,1026.7040604804292,0.09493639190959072,0.2419243931706307
XLE,ATR,961.5777945467246,1010.1480420248328,0.009825583841784766,0.05151130074852962
XLE,Squared_Returns,946.0449876215673,1010.1480420248328,4.868048002159799e-05,0.5917110679360428
XLE,SD_Prices,906.4041861916687,1010.1480420248328,0.05636071260367326,0.20029230919680954
XLF,ATR,950.331606417096,1057.0866141732283,0.0027574285771412355,0.05492972185813466
XLF,Squared_Returns,945.1999990264835,1057.0866141732283,4.010339623996785e-05,0.759840179835508
XLF,SD_Prices,973.6275313509709,1057.0866141732283,0.02846248621843064,0.20890114831843554
XLI,ATR,1010.493487330379,1103.2910388580492,0.24234856534395557,0.40166412777213195
XLI,Squared_Returns,1058.5350133921047,1103.2910388580492,7.397567083423558e-05,1.6397104144059196
XLI,SD_Prices,979.9669639277256,1103.2910388580492,0.1696565331669539,0.2816108441256977
XLP,ATR,942.7651212385518,1005.013229355243,0.12604256757151935,0.4036340906985849
XLP,Squared_Returns,975.8649949092613,1005.013229355243,0.0005045215428682615,4.327131383747512
XLP,SD_Prices,1056.5026372938296,1005.013229355243,0.16277699937354978,0.46463859886713577
XLV,ATR,1019.9075025657899,1100.1896333754742,0.6593743112302819,0.6614342616867982
XLV,Squared_Returns,1027.0400215956072,1100.1896333754742,0.0024473234388821745,9.168443536877419
XLV,SD_Prices,983.8160769352844,1100.1896333754742,0.4355335711891285,0.530074507179936
XLY,ATR,1139.8610273080178,1188.4567645841953,1.5163232121316206,0.7404944657982921
XLY,Squared_Returns,1000.0,1188.4567645841953,0.0027192004375145625,5.399709443732782
XLY,SD_Prices,1076.865271467209,1188.4567645841953,0.9927279620193677,0.5430420902681667
XLU,ATR,866.4324174378107,994.2777605938759,0.020089496604360785,0.09868469252160329
XLU,Squared_Returns,861.6399902747139,994.2777605938759,6.802255190798399e-05,1.0837109571012942
XLU,SD_Prices,870.9143096691363,994.2777605938759,0.06425826689572253,0.19814559915952537
