,metric,1,1.2,1.4,1.6,1.8,2
0,sd,130.28166344834725,127.0654236528713,142.7562950118944,155.26547888558486,168.2389016362072,143.54290267173684
1,atr,147.106282101117,142.570669250956,146.02903796618475,121.05936570702126,116.26669577839483,133.8829975587207
2,mad,118.84915641207753,127.58911523969077,125.86123060019618,148.26542417640007,150.23737555527492,168.97163649612904
3,iqr,141.46942952423282,158.93765631602793,170.14091557240104,152.42648652508225,142.48553008491342,135.63251246795218
