ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
XLB,ATR,1002.6439388825444,1026.7040604804292,0.006816031242812069,0.22981523200294315,,
XLB,SD_Squared_Returns,1001.6640688154581,1026.7040604804292,0.0050840117964342625,0.4763148656213422,26.780614088650417,5.4354379960436365e-158
XLB,SD_Prices,967.1570214145654,1026.7040604804292,0.003937704804361693,0.299815041445434,0.4969008419334217,0.619258977778236
XLB,IQR,980.5549781808511,1026.7040604804292,0.002867222838033788,0.40964688014798883,27.45941871329549,5.362685952150483e-166
XLE,ATR,995.6805621536748,1010.1480420248328,0.000804184292506356,0.06649575622639954,,
XLE,SD_Squared_Returns,926.8245175361054,1010.1480420248328,0.0012090331287768923,0.15691746482368588,15.463828111112921,6.087096085048727e-54
XLE,SD_Prices,939.05920470437,1010.1480420248328,0.0014274551475002575,0.20680853468668725,-7.750335466847081,9.16501004571646e-15
XLE,IQR,960.416156491508,1010.1480420248328,0.0021119653682220197,0.2342085225799962,15.107265140833114,1.4503545483701555e-51
XLF,ATR,1103.2624248665106,1057.0866141732283,0.0004130356366852211,0.07803325396984641,,
XLF,SD_Squared_Returns,1020.869841455237,1057.0866141732283,0.0007887114467176859,0.2128936937535818,13.191234986151947,9.855730085887303e-40
XLF,SD_Prices,978.5852322218761,1057.0866141732283,0.0013732378021188779,0.2392176971825789,-8.3199353333039,8.801131729520765e-17
XLF,IQR,1069.377843318025,1057.0866141732283,0.001582808747517417,0.4544013480110027,12.259563948869545,1.493011235694002e-34
XLI,ATR,1000.0,1103.2910388580492,0.02272145088548747,0.4321481733737179,,
XLI,SD_Squared_Returns,1098.8438680903662,1103.2910388580492,0.008283310850455064,0.524950351854914,38.415435250188295,0.0
XLI,SD_Prices,983.3289472009067,1103.2910388580492,0.008123398518946275,0.38008186137987254,6.445204896430497,1.154443463453535e-10
XLI,IQR,1028.0548206500494,1103.2910388580492,0.004128413729691031,0.5982967643707734,38.828646414413974,0.0
XLK,ATR,1051.8776468982078,1348.4404744472104,0.012603410885498512,0.2287202223116119,,
XLK,SD_Squared_Returns,982.48566371952,1348.4404744472104,0.01841791059988723,0.48177589418907013,29.785700391453258,5.9845159142971386e-195
XLK,SD_Prices,1115.8794224970588,1348.4404744472104,0.0036606336473176014,0.37392479638408943,0.029985707501240834,0.9760784518077739
XLK,IQR,1249.796348428418,1348.4404744472104,0.017400914066595486,1.163665629420659,29.0994467965551,3.648212665624245e-186
XLP,ATR,1009.1511429535074,1005.013229355243,0.012742621658124348,0.21637285772820739,,
XLP,SD_Squared_Returns,986.4022641449783,1005.013229355243,0.022934868257121592,0.7021454544887346,21.132803960176712,3.9724298326443715e-99
XLP,SD_Prices,1000.0,1005.013229355243,0.018217967702100612,0.5812576654231433,-12.194077092778198,3.3426961863030475e-34
XLP,IQR,967.0785262766967,1005.013229355243,0.004708065953450967,0.438331347692513,21.84434394813786,8.797964735729298e-106
XLV,ATR,1000.0,1100.1896333754742,0.0544372789355415,0.5776671138776186,,
XLV,SD_Squared_Returns,984.7465824147125,1100.1896333754742,0.012996446441880211,0.5012560350547942,51.4304630035923,0.0
XLV,SD_Prices,1003.2937078821838,1100.1896333754742,0.02043311638606209,0.6582058057458341,4.133896449611184,3.566642216774288e-05
XLV,IQR,1003.5345529074468,1100.1896333754742,0.01255157764871217,0.4618121421220107,52.42751284912877,0.0
XLY,ATR,1000.0,1188.4567645841953,0.11415682906793151,0.7857062546231277,,
XLY,SD_Squared_Returns,1073.4047832403262,1188.4567645841953,0.004035641989679692,0.27300722349783324,77.37281528861095,0.0
XLY,SD_Prices,1005.9842738849071,1188.4567645841953,0.022532736201656852,0.8481538428527299,6.288631116910581,3.202774975626721e-10
XLY,IQR,1015.0530035319268,1188.4567645841953,0.015126534222512597,0.6045290325035485,77.94208238635758,0.0
XLU,ATR,1108.137272918364,994.2777605938759,0.0024274559370734174,0.11051723536027314,,
XLU,SD_Squared_Returns,863.9505265143191,994.2777605938759,0.003907882191445895,0.389187283954971,14.932817267045886,2.0156685224394508e-50
XLU,SD_Prices,972.7002191350631,994.2777605938759,0.004387365263896887,0.3227619523651808,-10.08574068185942,6.3881560738798734e-24
XLU,IQR,945.0177039736118,994.2777605938759,0.0028918392706158732,0.417051586692936,15.1823120386861,4.6316386459206956e-52
