ETF,Metric,Final_Value,Passive_Potential,Relative_MSE,MAPE,DM_stat,DM_p
SPY,ATR,105.17772181752787,116.509536087547,0.0025241858841013247,0.2135855416374325,,
SPY,MAD_Returns,106.14237448352102,116.509536087547,0.001023134257831081,0.15016349137142995,22.1519676404816,9.986105737913437e-109
SPY,IQR,107.73202122063051,116.509536087547,0.0026403764784312354,0.3439988371271446,22.136754154095264,1.3996004189882283e-108
SPY,SD_Returns,106.68444591633644,116.509536087547,0.001548679124274667,0.17687542481273752,22.154916634868133,9.3533235908893e-109
XLB,ATR,101.19579728740513,95.150406039117,0.0005282115861953949,0.06153263888177715,,
XLB,MAD_Returns,97.4651268750753,95.150406039117,0.001591466454000741,0.17560314489556628,19.77116066150315,5.2748402472248845e-87
XLB,IQR,99.35694574301522,95.150406039117,0.0022484802862513926,0.4286841869741142,19.400524401829475,7.638821694946098e-84
XLB,SD_Returns,100.69946955361652,95.150406039117,0.0014891155212560657,0.14626557168739174,19.76258217840672,6.252303499178975e-87
XLE,ATR,96.52735244246198,101.8277066356228,0.005765159328199307,0.2028818555704853,,
XLE,MAD_Returns,96.43185617433858,101.8277066356228,0.0030871465843108916,0.3187391411258474,33.70676544549572,4.601128463743836e-249
XLE,IQR,100.85258293442138,101.8277066356228,0.0037804647285996722,0.5376071283228487,33.43615332198155,4.091254775728973e-245
XLE,SD_Returns,96.4850368138649,101.8277066356228,0.008044889730812929,0.5379917409157866,33.61394920890156,1.0492878390088964e-247
XLF,ATR,109.58897855885402,120.09391992090954,0.0005476505747522118,0.07197277501950847,,
XLF,MAD_Returns,107.50163125964536,120.09391992090954,0.0013153147848317269,0.1992040919619635,15.114132751308695,1.3068021658401545e-51
XLF,IQR,108.47439130977952,120.09391992090954,0.001480065374286856,0.2761965646417442,14.599387194964338,2.833810901060443e-48
XLF,SD_Returns,107.21882775484207,120.09391992090954,0.0011935642120442277,0.18135176567297057,15.161365814883988,6.373012733500439e-52
XLI,ATR,111.38664124002584,109.68595041322314,0.0023329815321348805,0.13978450591708946,,
XLI,MAD_Returns,110.45752342399621,109.68595041322314,0.0030074668098363055,0.2434393068574467,18.54535896031194,8.890515459999872e-77
XLI,IQR,110.62794222507412,109.68595041322314,0.006182218539038339,0.4840842376302818,18.39943077241117,1.3275194859924036e-75
XLI,SD_Returns,115.76585198422075,109.68595041322314,0.005707552348468934,0.3913642397492733,18.467977575260623,3.73829179945159e-76
XLK,ATR,110.9876004126043,114.55853054084261,0.0013603714366862156,0.1020093766616951,,
XLK,MAD_Returns,99.87076292331592,114.55853054084261,0.0019092621802984193,0.21020752798677528,12.016754848087519,2.9014399775642362e-33
XLK,IQR,106.73329511173209,114.55853054084261,0.006512674273985974,0.6096340851202535,11.900490268866015,1.1765390843643193e-32
XLK,SD_Returns,105.75759351307221,114.55853054084261,0.0012597575404445331,0.16613202192661175,12.01817469315905,2.8520203943171824e-33
XLP,ATR,102.68729852490586,104.7192513368984,0.0006457741217234474,0.05926721561225681,,
XLP,MAD_Returns,100.93208186677096,104.7192513368984,0.001625931428103804,0.15569000602127847,19.538140212467034,5.204423587357074e-85
XLP,IQR,102.69148512698649,104.7192513368984,0.002460000856854769,0.37085793673654016,19.13086323568997,1.397409692009745e-81
XLP,SD_Returns,100.4664757524169,104.7192513368984,0.003313254968481994,0.24148638107303375,19.451304257188028,2.841118717019607e-84
XLV,ATR,98.14953896480196,95.17808219178082,0.0007323084053273602,0.07714747610291318,,
XLV,MAD_Returns,100.0,95.17808219178082,0.0015714107979575155,0.2718865512914334,19.81815660868017,2.0757394565833653e-87
XLV,IQR,100.0,95.17808219178082,0.001884597933383099,0.3236459445084066,19.63478255018198,7.801405239848431e-86
XLV,SD_Returns,96.30666226872737,95.17808219178082,0.0014899798233765978,0.2580008162800162,19.80203796429061,2.8589057066304556e-87
XLY,ATR,108.2691911038669,122.88107931672289,0.00042519900722472724,0.06521819787861823,,
XLY,MAD_Returns,114.07632303176621,122.88107931672289,0.001276085818111019,0.14619360224955866,14.180766029119846,1.2052370448875581e-45
XLY,IQR,116.90790081961075,122.88107931672289,0.001515271080882328,0.2433403327007576,14.087357279821136,4.5424454523779566e-45
XLY,SD_Returns,115.57880763382519,122.88107931672289,0.0010689509486675073,0.1373490580645668,14.186119438233392,1.1166942021150224e-45
XLU,ATR,107.21579164002522,123.68421052631578,0.0008663879498939024,0.06550788915172481,,
XLU,MAD_Returns,114.27174971622662,123.68421052631578,0.0019407321627941938,0.19437530788338356,20.334892977971332,6.317722816307163e-92
XLU,IQR,112.58834171921777,123.68421052631578,0.002626867857888232,0.31325172857017025,19.7978736079464,3.1052749587692485e-87
XLU,SD_Returns,108.7425985586799,123.68421052631578,0.0019331021855378443,0.20361655276608817,20.328669218705343,7.17213649237238e-92
